SpeciesNum,CommonName,SciName,Size_0to1,Incidence0to1_cur,IncidenceChangeCategory_lo,IncidenceChangeCategory_hi,AvgIncidenceChange,ChangeInMeanCtrNeg1to1_lo,ChangeInMeanCtrNeg1to1_hi
1840,   White Ibis,   Eudocimus albus,0.527777778,-99.00,-99.00,-99.00,0.00,-0.574311725,0.279091157
1970,   Snowy Egret,   Egretta thula,0.527777778,-99.00,-99.00,3.00,1.00,-0.549413612,0.287779749
2000,   Little Blue Heron,   Egretta caerulea,0.569444444,-99.00,-99.00,3.00,1.00,-0.447794181,0.529997261
2001,   Cattle Egret,   Bubulcus ibis,0.513888889,-99.00,-99.00,3.00,1.00,-0.522025827,0.359886191
2030,   Yellow-crowned Night-Heron,   Nyctanassa violacea,0.611111111,-99.00,-99.00,3.00,1.00,-0.53827984,0.371007966
3200,   Common Ground-Dove,   Columbina passerina,0.076388889,-99.00,-99.00,3.00,1.00,-0.395859639,0.141964824
3260,   Black Vulture,   Coragyps atratus,0.75,-99.00,-99.00,3.00,1.00,-0.814339032,-0.132198151
3290,   Mississippi Kite,   Ictinia mississippiensis,0.5,-99.00,-99.00,3.00,1.00,-0.47954597,0.768467834
4160,   Chuck-Wills Widow,   Caprimulgus carolinenis,0.152777778,-99.00,-99.00,3.00,1.00,-0.615647517,0.037818585
4430,   Scissor-tailed Flycatcher,   Tyrannus forficatus,0.180555556,-99.00,-99.00,3.00,1.00,-0.19339044,1
4650,   Acadian Flycatcher,   Empidonax virescens,0.065972222,-99.00,3.00,3.00,2.00,-0.641817036,-0.162780909
4900,   Fish Crow,   Corvus ossifragus,0.208333333,-99.00,-99.00,-99.00,0.00,-0.882843335,-0.505625047
5750,   Bachmans Sparrow,   Aimophila aestivalis,0.076388889,-99.00,3.00,-99.00,1.00,-0.741077165,-0.254175902
6010,   Painted Bunting,   Passerina ciris,0.0625,-99.00,-99.00,3.00,1.00,-0.214722658,0.87965737
6100,   Summer Tanager,   Piranga rubra,0.090277778,-99.00,3.00,3.00,2.00,-0.6406629,-0.106310992
6310,   White-eyed Vireo,   Vireo griseus,0.083333333,-99.00,3.00,3.00,2.00,-0.771247705,-0.439189418
6390,   Worm-eating Warbler,   Helmitheros vermivorus,0.0625,-99.00,3.00,3.00,2.00,-0.904902547,-0.585161271
6630,   Yellow-throated Warbler,   Dendroica dominica,0.0625,-99.00,-99.00,3.00,1.00,-0.715892002,-0.212082383
6770,   Kentucky Warbler,   Oporornis formosus,0.0625,-99.00,3.00,3.00,2.00,-0.695133575,-0.228749348
6830,   Yellow-breasted Chat,   Icteria virens,0.086805556,-99.00,3.00,3.00,2.00,-0.652814351,-0.220031696
6840,   Hooded Warbler,   Wilsonia citrina,0.0625,-99.00,3.00,3.00,2.00,-0.882132853,-0.671860867
7180,   Carolina Wren,   Thryothorus ludovicianus,0.065972222,-99.00,3.00,3.00,2.00,-0.723450012,-0.425644837
