Country,State,Route,Year,Aou,SpeciesTotal
840,50,001,1967,05950,5                                                                                                                                                                                                                                        
840,50,001,1967,04050,1                                                                                                                                                                                                                                        
840,50,001,1967,01940,6                                                                                                                                                                                                                                        
840,50,001,1967,01440,15                                                                                                                                                                                                                                       
840,50,001,1969,01940,2                                                                                                                                                                                                                                        
840,50,001,1969,04050,2                                                                                                                                                                                                                                        
840,50,001,1969,04090,8                                                                                                                                                                                                                                        
840,50,001,1969,05950,15                                                                                                                                                                                                                                       
840,50,001,1970,01940,2                                                                                                                                                                                                                                        
840,50,001,1970,04670,2                                                                                                                                                                                                                                        
840,50,001,1970,06870,2                                                                                                                                                                                                                                        
840,50,001,1970,04090,3                                                                                                                                                                                                                                        
840,50,001,1970,06740,1                                                                                                                                                                                                                                        
840,50,001,1970,04050,2                                                                                                                                                                                                                                        
840,50,001,1970,05950,10                                                                                                                                                                                                                                       
840,50,001,1971,01940,2                                                                                                                                                                                                                                        
840,50,001,1971,05950,9                                                                                                                                                                                                                                        
840,50,001,1971,01440,2                                                                                                                                                                                                                                        
840,50,001,1971,06410,1                                                                                                                                                                                                                                        
840,50,001,1971,04090,3                                                                                                                                                                                                                                        
840,50,001,1972,04090,2                                                                                                                                                                                                                                        
840,50,001,1972,04050,2                                                                                                                                                                                                                                        
840,50,001,1972,01440,1                                                                                                                                                                                                                                        
840,50,001,1972,06870,1                                                                                                                                                                                                                                        
840,50,001,1972,05950,4                                                                                                                                                                                                                                        
840,50,001,1972,01940,1                                                                                                                                                                                                                                        
840,50,001,1972,04670,1                                                                                                                                                                                                                                        
840,50,001,1974,01940,2                                                                                                                                                                                                                                        
840,50,001,1974,04090,1                                                                                                                                                                                                                                        
840,50,001,1974,05950,13                                                                                                                                                                                                                                       
840,50,001,1974,01440,1                                                                                                                                                                                                                                        
840,50,001,1974,07510,1                                                                                                                                                                                                                                        
840,50,001,1975,06410,1                                                                                                                                                                                                                                        
840,50,001,1975,05950,15                                                                                                                                                                                                                                       
840,50,001,1975,04090,6                                                                                                                                                                                                                                        
840,50,001,1975,01440,1                                                                                                                                                                                                                                        
840,50,001,1975,01940,1                                                                                                                                                                                                                                        
840,50,001,1976,05950,10                                                                                                                                                                                                                                       
840,50,001,1976,04670,1                                                                                                                                                                                                                                        
840,50,001,1976,04090,10                                                                                                                                                                                                                                       
840,50,001,1976,07510,1                                                                                                                                                                                                                                        
840,50,001,1976,01440,2                                                                                                                                                                                                                                        
840,50,001,1976,01940,2                                                                                                                                                                                                                                        
840,50,001,1977,07510,1                                                                                                                                                                                                                                        
840,50,001,1977,06870,1                                                                                                                                                                                                                                        
840,50,001,1977,05950,13                                                                                                                                                                                                                                       
840,50,001,1977,01940,3                                                                                                                                                                                                                                        
840,50,001,1977,04090,7                                                                                                                                                                                                                                        
840,50,001,1977,01440,3                                                                                                                                                                                                                                        
840,50,001,1977,04670,2                                                                                                                                                                                                                                        
840,50,001,1977,06410,1                                                                                                                                                                                                                                        
840,50,001,1978,01440,2                                                                                                                                                                                                                                        
840,50,001,1978,05950,6                                                                                                                                                                                                                                        
840,50,001,1978,06410,1                                                                                                                                                                                                                                        
840,50,001,1978,01940,3                                                                                                                                                                                                                                        
840,50,001,1978,04090,7                                                                                                                                                                                                                                        
