Country,State,Route,Active,Latitude,Longitude,Stratum,Bcr,LandType,RouteType,RouteTypeDetail
840,50,001,1,43.8139858,-91.6904455,17,23,0,1,1                                                                                                                                                                                                                
840,50,002,0,43.8977022,-92.0912443,17,23,0,1,1                                                                                                                                                                                                                
840,50,003,1,43.8179682,-93.4993444,40,11,0,1,1                                                                                                                                                                                                                
840,50,004,1,43.7677899,-94.2874490,40,11,0,1,1                                                                                                                                                                                                                
840,50,005,1,43.9353187,-95.9840909,40,11,0,1,1                                                                                                                                                                                                                
840,50,006,1,43.5872765,-96.1830378,40,22,0,1,1                                                                                                                                                                                                                
840,50,007,1,44.2229204,-92.2705246,17,23,0,1,1                                                                                                                                                                                                                
840,50,008,1,44.6596006,-93.3337301,32,22,0,1,1                                                                                                                                                                                                                
840,50,009,1,44.9718866,-93.4716124,40,23,0,1,1                                                                                                                                                                                                                
840,50,010,1,44.6299537,-94.0314709,40,11,0,1,1                                                                                                                                                                                                                
840,50,011,1,44.3009187,-94.3011859,40,11,0,1,1                                                                                                                                                                                                                
840,50,012,1,44.5288767,-95.1992649,40,11,0,1,1                                                                                                                                                                                                                
840,50,013,1,44.9630107,-95.4525129,40,11,0,1,1                                                                                                                                                                                                                
840,50,014,1,44.9793225,-96.0833142,40,11,0,1,1                                                                                                                                                                                                                
840,50,015,1,45.6049323,-93.8828669,20,23,0,1,1                                                                                                                                                                                                                
840,50,016,1,45.1025755,-93.4714512,40,23,0,1,1                                                                                                                                                                                                                
840,50,017,1,45.1642488,-94.1968580,40,23,0,1,1                                                                                                                                                                                                                
840,50,018,1,45.7028381,-94.2849051,20,23,0,1,1                                                                                                                                                                                                                
840,50,019,1,45.1659077,-95.6548459,40,11,0,1,1                                                                                                                                                                                                                
840,50,020,1,45.0215533,-95.4320570,40,11,0,1,1                                                                                                                                                                                                                
840,50,021,1,45.5499007,-96.0968314,40,11,0,1,1                                                                                                                                                                                                                
840,50,022,1,46.7041860,-92.6394206,28,12,0,1,1                                                                                                                                                                                                                
840,50,023,1,46.2421178,-93.8074399,20,12,0,1,1                                                                                                                                                                                                                
840,50,024,1,46.3671876,-93.6014381,28,12,0,1,1                                                                                                                                                                                                                
840,50,025,1,46.8020456,-94.5135819,20,12,0,1,1                                                                                                                                                                                                                
840,50,026,1,46.7329145,-94.3443985,20,12,0,1,1                                                                                                                                                                                                                
840,50,027,1,46.4410069,-95.9888795,20,23,0,1,1                                                                                                                                                                                                                
840,50,028,1,46.7456606,-95.4769368,20,23,0,1,1                                                                                                                                                                                                                
840,50,029,1,46.9200866,-96.6109471,40,11,0,1,1                                                                                                                                                                                                                
840,50,030,1,46.0800609,-96.4727186,40,11,0,1,1                                                                                                                                                                                                                
840,50,031,1,47.9338065,-89.9767373,28,12,0,1,1                                                                                                                                                                                                                
840,50,032,1,47.7313654,-90.7030630,28,12,0,1,1                                                                                                                                                                                                                
840,50,033,1,47.7051868,-91.5398453,28,12,0,1,1                                                                                                                                                                                                                
840,50,034,1,47.0678994,-91.8050812,28,12,0,1,1                                                                                                                                                                                                                
840,50,035,1,47.0684835,-92.9862729,28,12,0,1,1                                                                                                                                                                                                                
840,50,036,1,47.5952985,-92.9913092,28,12,0,1,1                                                                                                                                                                                                                
840,50,037,1,47.3400313,-93.6189603,28,12,0,1,1                                                                                                                                                                                                                
840,50,038,1,47.6168332,-93.1946352,28,12,0,1,1                                                                                                                                                                                                                
840,50,039,0,47.3145457,-94.3015209,28,12,0,1,1                                                                                                                                                                                                                
840,50,040,0,47.5989877,-94.8854299,28,12,0,1,1                                                                                                                                                                                                                
840,50,041,1,47.7638545,-95.8371369,30,11,0,1,1                                                                                                                                                                                                                
840,50,042,1,47.7910956,-95.1183550,28,12,0,1,1                                                                                                                                                                                                                
840,50,043,1,47.5136293,-96.6336288,40,11,0,1,1                                                                                                                                                                                                                
840,50,044,1,47.9052911,-96.3099816,30,11,0,1,1                                                                                                                                                                                                                
840,50,045,1,48.2729265,-92.4914447,28,12,0,1,1                                                                                                                                                                                                                
